Date ,Agent_tiep_nhan,Level1,Total_ticket
2025-06-01,bpomb33,Chưa xác định được vấn đề,45
2025-06-01,bpomb34,Chưa xác định được vấn đề,33
2025-06-01,bpomb41,Chưa xác định được vấn đề,32
2025-06-01,bpomb13,Chưa xác định được vấn đề,31
2025-06-01,bpomb09,Chưa xác định được vấn đề,27
2025-06-01,bpomb43,Chưa xác định được vấn đề,27
2025-06-01,bpomb15,Chưa xác định được vấn đề,26
2025-06-01,bpovm70,Chưa xác định được vấn đề,24
2025-06-01,bpovm16,Chưa xác định được vấn đề,20
2025-06-01,bpomb18,Chưa xác định được vấn đề,19
2025-06-01,bpovm92,Chưa xác định được vấn đề,18
2025-06-01,bpovm30,Chưa xác định được vấn đề,17
2025-06-01,bpomb45,Chi hộ vay tiêu dùng,17
2025-06-01,bpovm43,Chưa xác định được vấn đề,17
2025-06-01,bpomb15,Chi hộ vay tiêu dùng,17
2025-06-01,bpomb18,Chi hộ vay tiêu dùng,17
2025-06-01,bpovm86,Chi hộ vay tiêu dùng,16
2025-06-01,bpovm90,Chưa xác định được vấn đề,16
2025-06-01,bpovm24,Chi hộ vay tiêu dùng,16
2025-06-01,bpomb13,Chi hộ vay tiêu dùng,16
2025-06-01,bpovm57,Chưa xác định được vấn đề,16
2025-06-01,bpomb09,Chi hộ vay tiêu dùng,16
2025-06-01,bpovm16,Chi hộ vay tiêu dùng,15
2025-06-01,bpovm70,Chi hộ vay tiêu dùng,15
2025-06-01,bpovm96,Chưa xác định được vấn đề,15
2025-06-01,bpovm24,Quốc tế,14
2025-06-01,bpomb37,Chi hộ vay tiêu dùng,14
2025-06-01,bpomb32,Chưa xác định được vấn đề,14
2025-06-01,bpovm64,Chưa xác định được vấn đề,14
2025-06-01,bpomb45,Chưa xác định được vấn đề,13
2025-06-01,bpovm43,Chi hộ vay tiêu dùng,13
2025-06-01,bpovm30,Chi hộ vay tiêu dùng,13
2025-06-01,bpomb19,Chi hộ vay tiêu dùng,12
2025-06-01,bpovm48,Chưa xác định được vấn đề,12
2025-06-01,bpovm65,Chi hộ vay tiêu dùng,11
2025-06-01,bpovm65,Chưa xác định được vấn đề,11
2025-06-01,bpomb30,Chưa xác định được vấn đề,11
2025-06-01,bpomb32,Chi hộ vay tiêu dùng,11
2025-06-01,bpovm69,Chi hộ vay tiêu dùng,11
