AUTO_ID,AGENT_ID,TYPE_ACTION,CREATE_DATE
228297,bpomb02,START_SHIFT,1748742713000
228301,bpomb02,START_BREAK,1748742718000
228302,bpomb02,START_WORKING,1748742720000
228303,bpomb02,START_BREAK,1748742731000
228304,bpomb02,START_WORKING,1748742740000
228305,bpomb02,START_BREAK,1748742750000
228306,bpomb02,START_WORKING,1748743369000
228307,bpomb02,START_BREAK,1748743383000
228308,bpomb02,START_WORKING,1748743399000
228309,bpomb02,START_BREAK,1748743407000
228310,bpomb02,START_WORKING,1748744026000
228311,bpomb02,START_BREAK,1748744031000
228312,bpomb02,START_WORKING,1748744086000
228313,bpomb02,START_BREAK,1748744091000
228314,bpomb02,START_WORKING,1748744609000
228315,bpomb02,START_BREAK,1748744620000
228316,bpomb02,START_WORKING,1748745887000
228317,bpomb02,START_BREAK,1748745913000
228318,bpomb02,START_WORKING,1748747332000
228319,bpomb02,START_BREAK,1748747341000
228320,bpomb02,START_WORKING,1748748108000
228321,bpomb02,START_BREAK,1748748124000
228322,bpomb02,START_WORKING,1748749094000
228323,bpomb02,START_BREAK,1748749102000
228324,bpomb02,START_WORKING,1748749706000
228326,bpomb02,START_BREAK,1748749711000
228325,bpomb02,START_WORKING,1748749913000
228327,bpomb02,START_BREAK,1748749920000
228329,bpomb02,START_WORKING,1748750123000
228328,bpomb02,START_BREAK,1748750127000
228330,bpomb02,START_WORKING,1748750173000
228331,bpomb02,START_BREAK,1748750180000
228332,bpomb02,START_WORKING,1748750428000
228333,bpomb02,START_BREAK,1748750431000
228334,bpomb02,START_WORKING,1748751977000
228335,bpomb02,START_BREAK,1748751980000
228336,bpomb02,START_WORKING,1748753039000
228337,bpomb02,START_BREAK,1748753052000
228339,bpomb02,START_WORKING,1748754846000
228338,bpomb02,START_BREAK,1748754851000
228340,bpomb02,START_WORKING,1748755062000
228341,bpomb02,START_BREAK,1748755065000
228342,bpomb02,START_WORKING,1748756565000
228343,bpomb02,START_BREAK,1748756570000
228298,bpomb02,END_SHIFT,1748757987000
228344,bpomb02,START_WORKING,1748757988000
228300,bpomb02,START_SHIFT,1748759793000
228345,bpomb02,START_BREAK,1748759812000
228347,bpomb02,START_WORKING,1748761313000
228346,bpomb02,START_BREAK,1748761334000
228348,bpomb02,START_WORKING,1748762274000
228349,bpomb02,START_BREAK,1748762301000
228350,bpomb02,START_WORKING,1748763086000
228351,bpomb02,START_BREAK,1748763103000
228352,bpomb02,START_WORKING,1748764230000
228353,bpomb02,START_BREAK,1748764242000
228355,bpomb02,START_WORKING,1748764343000
228354,bpomb02,START_BREAK,1748764350000
228357,bpomb02,START_WORKING,1748764487000
228356,bpomb02,START_BREAK,1748764492000
228358,bpomb02,START_WORKING,1748765409000
228359,bpomb02,START_BREAK,1748765421000
228360,bpomb02,START_WORKING,1748765945000
228361,bpomb02,START_BREAK,1748765955000
228299,bpomb02,END_SHIFT,1748766963000
228362,bpomb02,START_WORKING,1748766964000
229756,bpomb02,START_SHIFT,1748829460000
229760,bpomb02,START_BREAK,1748829474000
229761,bpomb02,START_WORKING,1748829522000
229762,bpomb02,START_BREAK,1748829533000
229763,bpomb02,START_WORKING,1748829633000
229764,bpomb02,START_BREAK,1748829640000
229765,bpomb02,START_WORKING,1748830642000
229766,bpomb02,START_BREAK,1748830660000
229767,bpomb02,START_WORKING,1748831855000
229768,bpomb02,START_BREAK,1748831872000
229770,bpomb02,START_WORKING,1748833967000
229769,bpomb02,START_BREAK,1748833974000
229771,bpomb02,START_WORKING,1748834040000
229772,bpomb02,START_BREAK,1748834050000
229773,bpomb02,START_WORKING,1748834667000
229774,bpomb02,START_BREAK,1748834670000
229775,bpomb02,START_WORKING,1748835740000
229776,bpomb02,START_BREAK,1748835749000
229777,bpomb02,START_WORKING,1748835868000
229778,bpomb02,START_BREAK,1748835985000
229780,bpomb02,START_WORKING,1748836347000
229779,bpomb02,START_BREAK,1748836455000
229781,bpomb02,START_WORKING,1748838789000
229782,bpomb02,START_BREAK,1748838868000
229784,bpomb02,START_WORKING,1748840701000
229783,bpomb02,START_BREAK,1748841074000
229785,bpomb02,START_WORKING,1748841828000
229786,bpomb02,START_BREAK,1748842659000
229757,bpomb02,END_SHIFT,1748845006000
229787,bpomb02,START_WORKING,1748845008000
229758,bpomb02,START_SHIFT,1748846376000
229788,bpomb02,START_BREAK,1748846401000
229759,bpomb02,END_SHIFT,1748848862000
229789,bpomb02,START_WORKING,1748848864000
251870,bpomb02,START_SHIFT,1750550212000
251878,bpomb02,START_BREAK,1750550698000
251879,bpomb02,START_WORKING,1750550755000
251881,bpomb02,START_BREAK,1750551692000
251871,bpomb02,END_SHIFT,1750551697000
251872,bpomb02,START_SHIFT,1750551713000
251880,bpomb02,START_WORKING,1750551782000
251882,bpomb02,START_BREAK,1750551794000
251883,bpomb02,START_WORKING,1750551799000
251884,bpomb02,START_BREAK,1750551861000
251885,bpomb02,START_WORKING,1750551863000
251887,bpomb02,START_BREAK,1750552029000
251886,bpomb02,START_WORKING,1750552034000
251888,bpomb02,START_BREAK,1750552084000
251873,bpomb02,END_SHIFT,1750552088000
251890,bpomb02,START_WORKING,1750552089000
251874,bpomb02,START_SHIFT,1750552092000
251889,bpomb02,START_BREAK,1750552241000
251891,bpomb02,START_WORKING,1750552245000
251892,bpomb02,START_BREAK,1750552285000
251893,bpomb02,START_WORKING,1750552484000
251894,bpomb02,START_BREAK,1750553424000
251897,bpomb02,START_WORKING,1750553622000
251896,bpomb02,START_BREAK,1750553759000
251895,bpomb02,START_WORKING,1750554636000
251898,bpomb02,START_BREAK,1750556394000
251899,bpomb02,START_WORKING,1750557017000
251900,bpomb02,START_BREAK,1750557810000
251901,bpomb02,START_WORKING,1750557947000
251903,bpomb02,START_BREAK,1750559564000
251902,bpomb02,START_WORKING,1750560548000
251904,bpomb02,START_BREAK,1750561959000
251905,bpomb02,START_WORKING,1750562500000
251906,bpomb02,START_BREAK,1750563055000
251908,bpomb02,START_WORKING,1750563061000
251907,bpomb02,START_BREAK,1750564795000
